#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-05-20T17:28:20
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml17705
#INFO	CatalogsExamined=6
#  6 catalogues with potential matches were examined
#
#INFO	Target=308.200000+41.000000,rm=600.

#RESOURCE=2126
#Name: II/126
#Title:	IRAS Serendipitous Survey Catalog (IPAC 1986)
#Table	II_126_sources:
#Name: II/126/sources
#Title:	Properties of the point sources identified
#Coosys	B1950:	eq_FK4 1950
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_r	(F8.5)	Distance from center (RA1950=20 30 59.9, DE1950=+40 49 43)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_Glon	(F6.2)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	IRAS	(A11)	IRAS/SSC Source Name (1)        (link)	[ucd=ID_MAIN]
#Column	RA1950	(A10)	Right Ascension 1950 (hours)	[ucd=POS_EQ_RA_MAIN]
#Column	DE1950	(A9)	Declination 1950 (degrees)	[ucd=POS_EQ_DEC_MAIN]
#Column	ANGLE	(I3)	Position Angle of SSC Source Error Box expressed in degrees East of North.	[ucd=ERROR]
#Column	FLUX12	(E9.2)	Averaged Non-color Corrected Flux Densities(2)	[ucd=PHOT_FLUX_IR_12]
#Column	FLUX25	(E9.2)	Averaged Non-color Corrected Flux Densities(2)	[ucd=PHOT_FLUX_IR_25]
#Column	FLUX60	(E9.2)	Averaged Non-color Corrected Flux Densities(2)	[ucd=PHOT_FLUX_IR_60]
#Column	RGRID	(I5)	Reference Grid Number        (link)	[ucd=REFER_CODE]

recno	_r	_Glon	_Glat	_RAJ2000	_DEJ2000	IRAS	RA1950	DE1950	ANGLE	FLUX12	FLUX25	FLUX60	RGRID
   38910	 8.78063	082.98	-07.57	318.9266	+38.0404	21137+3749 	21 13 43.0	+37 49 53	 76	 8.95e-01	 5.07e-01	 1.05e-01	14852
   38909	 8.76279	082.99	-07.54	318.9177	+38.0696	21136+3751 	21 13 40.9	+37 51 38	 76	 5.85e-02	 7.00e-02	 1.05e-01	14852
   38901	 8.55689	083.02	-07.31	318.7263	+38.2442	21129+3802 	21 12 55.3	+38 02 09	 76	 5.85e-02	 7.00e-02	 1.12e-01	14852
   38894	 8.46516	083.02	-07.21	318.6365	+38.3148	21125+3806 	21 12 33.9	+38 06 24	 76	 5.85e-02	 7.00e-02	 1.92e-01	14852
   38885	 8.21496	083.03	-06.94	318.3893	+38.5068	21115+3817 	21 11 35.0	+38 17 58	 76	 5.85e-02	 7.00e-02	 1.83e-01	14852
   38908	 8.68101	083.04	-07.44	318.8612	+38.1755	21134+3758 	21 13 27.5	+37 58 00	 76	 5.56e-01	 1.94e-01	 1.05e-01	14852
   38897	 8.49702	083.05	-07.23	318.6845	+38.3233	21127+3806 	21 12 45.4	+38 06 54	 76	 2.55e+00	 7.25e-01	 1.05e-01	14852
   38891	 8.34212	083.10	-07.05	318.5557	+38.4915	21122+3817 	21 12 14.8	+38 17 01	 76	 5.85e-02	 7.00e-02	 1.84e-01	14852
   38905	 8.53585	083.18	-07.22	318.7876	+38.4239	21131+3812 	21 13 10.2	+38 12 55	 76	 5.85e-02	 7.00e-02	 1.05e-01	14852
   38892	 8.31524	083.22	-06.97	318.5830	+38.6266	21123+3825 	21 12 21.5	+38 25 07	 76	 5.85e-02	 7.00e-02	 2.99e-01	14852
   38900	 8.39508	083.30	-07.02	318.7016	+38.6483	21128+3826 	21 12 49.9	+38 26 24	 76	 5.85e-02	 7.00e-02	 1.05e-01	14852
   37448	 4.91527	083.47	-02.73	314.6892	+41.6508	20568+4127 	20 56 53.9	+41 27 21	 72	 5.25e-01	 1.95e-01	 9.18e-01	 2950
   37442	 4.74873	083.56	-02.38	314.4115	+41.9498	20557+4145 	20 55 47.9	+41 45 21	 72	 1.55e+00	 6.65e-01	 9.18e-01	 2950
   37433	 4.66637	083.61	-02.19	314.2597	+42.1054	20551+4154 	20 55 11.8	+41 54 43	 72	 4.77e-01	 3.69e+00	 9.18e-01	 2950
   37434	 4.67428	083.63	-02.18	314.2620	+42.1357	20552+4156 	20 55 12.4	+41 56 32	 72	 1.57e-01	 1.95e-01	 9.18e-01	 2950
   37708	 5.22213	083.63	-03.01	315.1075	+41.5953	20585+4123 	20 58 33.9	+41 23 56	 68	 3.82e-01	 2.06e-01	 9.18e-01	 3500
   37706	 5.17855	083.67	-02.90	315.0375	+41.6962	20582+4130 	20 58 17.3	+41 30 00	 68	 3.83e-01	 2.06e-01	 9.18e-01	 3500
   37447	 4.86913	083.68	-02.43	314.5633	+42.0045	20564+4148 	20 56 24.3	+41 48 36	 72	 1.57e-01	 1.95e-01	 4.67e+00	 2950
   37445	 4.84348	083.69	-02.37	314.5162	+42.0546	20562+4151 	20 56 13.1	+41 51 37	 72	 2.50e-01	 2.33e-01	 9.18e-01	 2950
   37979	 5.51923	083.73	-03.32	315.5154	+41.4603	21001+4115 	21 00 11.3	+41 15 45	 68	 1.57e-01	 1.74e-01	 8.22e-01	 3485
   37446	 4.87221	083.73	-02.37	314.5465	+42.0906	20563+4153 	20 56 20.4	+41 53 46	 72	 1.57e-01	 3.33e-01	 9.18e-01	 2950
   37444	 4.82892	083.75	-02.27	314.4666	+42.1659	20560+4158 	20 56 01.4	+41 58 18	 72	 1.57e-01	 1.95e-01	 7.30e+00	 2950
   37441	 4.80379	083.78	-02.19	314.4097	+42.2407	20557+4202 	20 55 47.9	+42 02 48	 72	 3.17e-01	 4.97e-01	 9.18e-01	 2950
   37439	 4.78795	083.80	-02.13	314.3700	+42.2961	20556+4206 	20 55 38.5	+42 06 08	 72	 1.57e-01	 4.36e-01	 8.68e+00	 2950
   37710	 5.26349	083.81	-02.88	315.1358	+41.8107	20586+4136 	20 58 41.0	+41 36 51	 68	 2.83e-01	 2.06e-01	 9.18e-01	 3500
   37443	 4.82886	083.82	-02.18	314.4333	+42.2763	20558+4204 	20 55 53.6	+42 04 56	 72	 1.57e-01	 1.95e-01	 9.18e-01	 2950
   37437	 4.77553	083.84	-02.06	314.3282	+42.3682	20554+4210 	20 55 28.6	+42 10 28	 72	 1.57e-01	 5.36e-01	 9.18e-01	 2950
   37974	 5.44020	083.85	-03.10	315.3890	+41.6996	20596+4130 	20 59 41.4	+41 30 08	 68	 1.77e-01	 2.69e-01	 8.22e-01	 3485
   37721	 5.62324	083.87	-03.34	315.6486	+41.5513	21007+4121 	21 00 43.3	+41 21 11	 68	 1.59e-01	 2.06e-01	 9.15e-01	 3500
   37982	 5.62873	083.87	-03.34	315.6557	+41.5549	21007+4121 	21 00 45.0	+41 21 24	 68	 1.57e-01	 1.74e-01	 9.01e-01	 3485
   37697	 5.09869	083.87	-02.55	314.8609	+42.0736	20575+4152 	20 57 35.6	+41 52 41	 68	 1.07e+00	 7.24e-01	 9.18e-01	 3500
   37720	 5.47739	083.89	-03.11	315.4369	+41.7170	20598+4131 	20 59 52.9	+41 31 10	 68	 1.59e-01	 2.88e-01	 3.03e+00	 3500
   37978	 5.47933	083.89	-03.11	315.4390	+41.7214	20598+4131 	20 59 53.4	+41 31 26	 68	 1.57e-01	 1.74e-01	 2.97e+00	 3485
   37686	 5.02455	083.91	-02.39	314.7255	+42.2043	20570+4200 	20 57 03.4	+42 00 33	 68	 9.43e-01	 2.06e-01	 1.46e+01	 3500
   37714	 5.31431	083.91	-02.84	315.1883	+41.9089	20588+4142 	20 58 53.7	+41 42 44	 68	 1.59e-01	 2.06e-01	 1.05e+00	 3500
   37681	 4.97457	083.92	-02.30	314.6360	+42.2742	20567+4204 	20 56 42.1	+42 04 46	 68	 1.59e-01	 4.35e-01	 9.18e-01	 3500
   37965	 5.32397	083.92	-02.85	315.2000	+41.9170	20589+4143 	20 58 56.5	+41 43 13	 68	 1.57e-01	 1.74e-01	 9.97e-01	 3485
   37440	 4.82997	083.92	-02.04	314.3766	+42.4453	20556+4215 	20 55 40.3	+42 15 05	 72	 1.20e+00	 2.54e-01	 9.18e-01	 2950
   37422	 4.61388	083.92	-01.63	313.9532	+42.7141	20539+4231 	20 53 59.4	+42 31 18	 72	 1.87e-01	 1.95e-01	 9.18e-01	 2950
   37438	 4.82375	083.94	-02.00	314.3508	+42.4902	20555+4217 	20 55 34.2	+42 17 47	 72	 1.61e+00	 9.59e-01	 9.18e-01	 2950
   37984	 5.79350	083.96	-03.49	315.8787	+41.5160	21016+4119 	21 01 38.3	+41 19 01	 68	 1.57e-01	 9.01e-01	 1.17e+00	 3485
   37702	 5.20332	083.96	-02.61	314.9978	+42.0999	20581+4154 	20 58 08.4	+41 54 14	 68	 1.20e+00	 3.56e-01	 9.18e-01	 3500
   37952	 5.22255	083.98	-02.62	315.0220	+42.1089	20582+4154 	20 58 14.2	+41 54 46	 68	 1.18e+00	 4.15e-01	 8.22e-01	 3485
   37977	 5.47878	083.98	-03.01	315.4193	+41.8583	20598+4139 	20 59 48.9	+41 39 39	 68	 6.91e-01	 1.74e-01	 8.22e-01	 3485
   37719	 5.48188	083.99	-03.01	315.4235	+41.8583	20598+4139 	20 59 49.9	+41 39 39	 68	 6.39e-01	 2.06e-01	 9.18e-01	 3500
   37682	 5.00217	084.00	-02.23	314.6416	+42.3770	20567+4210 	20 56 43.6	+42 10 56	 68	 1.59e-01	 2.06e-01	 4.25e+00	 3500
   37715	 5.35930	084.02	-02.78	315.2256	+42.0329	20590+4150 	20 59 02.8	+41 50 10	 68	 2.09e-01	 2.06e-01	 1.00e+00	 3500
   37427	 4.71855	084.02	-01.66	314.0782	+42.7678	20544+4234 	20 54 29.4	+42 34 30	 72	 9.34e-01	 2.13e-01	 9.18e-01	 2950
   37973	 5.46347	084.03	-02.93	315.3845	+41.9426	20596+4144 	20 59 40.7	+41 44 43	 68	 1.29e+00	 6.35e-01	 8.22e-01	 3485
   37968	 5.37091	084.03	-02.79	315.2402	+42.0388	20591+4150 	20 59 06.3	+41 50 31	 68	 2.45e-01	 1.74e-01	 8.22e-01	 3485
   37718	 5.47053	084.04	-02.94	315.3942	+41.9424	20597+4144 	20 59 43.0	+41 44 42	 68	 1.21e+00	 6.55e-01	 9.18e-01	 3500
   37435	 4.81927	084.04	-01.83	314.2669	+42.6757	20552+4228 	20 55 14.4	+42 28 56	 72	 1.57e-01	 1.95e-01	 1.17e+00	 2950
   37672	 4.95663	084.05	-02.08	314.5296	+42.5125	20562+4219 	20 56 17.0	+42 19 05	 68	 1.59e-01	 2.06e-01	 2.11e+00	 3500
   37689	 5.07940	084.05	-02.29	314.7482	+42.3802	20571+4211 	20 57 09.1	+42 11 06	 68	 4.06e-01	 2.06e-01	 9.18e-01	 3500
   37426	 4.72255	084.05	-01.62	314.0578	+42.8197	20544+4237 	20 54 24.6	+42 37 37	 72	 1.57e-01	 1.95e-01	 1.16e+00	 2950
   37677	 5.00408	084.06	-02.15	314.6109	+42.4730	20566+4216 	20 56 36.4	+42 16 42	 68	 3.25e-01	 2.06e-01	 9.18e-01	 3500
   37981	 5.63256	084.06	-03.15	315.6327	+41.8190	21006+4137 	21 00 39.9	+41 37 15	 68	 1.57e-01	 1.74e-01	 8.22e-01	 3485
   37962	 5.31753	084.08	-02.65	315.1387	+42.1646	20587+4158 	20 58 42.2	+41 58 05	 68	 1.57e-01	 2.25e-01	 8.22e-01	 3485
   37983	 5.72044	084.08	-03.26	315.7589	+41.7589	21011+4133 	21 01 10.0	+41 33 37	 68	 2.21e-01	 1.74e-01	 8.22e-01	 3485
   37703	 5.24000	084.08	-02.51	315.0077	+42.2577	20581+4203 	20 58 11.0	+42 03 42	 68	 1.59e-01	 2.06e-01	 3.68e+00	 3500
   37690	 5.09569	084.09	-02.26	314.7541	+42.4305	20571+4214 	20 57 10.6	+42 14 07	 68	 1.59e-01	 2.06e-01	 9.18e-01	 3500
   37699	 5.20594	084.10	-02.44	314.9433	+42.3178	20579+4207 	20 57 55.7	+42 07 19	 68	 1.59e-01	 2.06e-01	 9.18e-01	 3500
   37963	 5.32616	084.10	-02.63	315.1439	+42.1910	20587+4159 	20 58 43.5	+41 59 40	 68	 1.57e-01	 1.74e-01	 1.26e+00	 3485
   37694	 5.11858	084.10	-02.28	314.7880	+42.4248	20573+4213 	20 57 18.7	+42 13 46	 68	 6.09e-01	 2.06e-01	 9.18e-01	 3500
   37980	 5.56674	084.11	-03.00	315.5224	+41.9550	21002+4145 	21 00 13.7	+41 45 26	 68	 3.97e-01	 1.74e-01	 8.22e-01	 3485
   37713	 5.34657	084.12	-02.65	315.1715	+42.1927	20588+4159 	20 58 50.1	+41 59 46	 68	 1.59e-01	 2.06e-01	 1.31e+00	 3500
   37945	 5.18003	084.12	-02.37	314.8899	+42.3748	20577+4210 	20 57 43.0	+42 10 45	 68	 1.57e-01	 2.64e-01	 8.22e-01	 3485
   37425	 4.73447	084.12	-01.52	314.0161	+42.9304	20542+4244 	20 54 14.8	+42 44 16	 72	 1.57e-01	 1.95e-01	 3.07e+00	 2950
   37950	 5.22386	084.12	-02.44	314.9641	+42.3312	20580+4208 	20 58 00.7	+42 08 07	 68	 1.57e-01	 3.67e-01	 3.95e+00	 3485
   37701	 5.23712	084.13	-02.45	314.9813	+42.3354	20580+4208 	20 58 04.8	+42 08 22	 68	 1.59e-01	 3.50e-01	 4.27e+00	 3500
   37415	 4.66677	084.13	-01.34	313.8423	+43.0556	20535+4251 	20 53 33.4	+42 51 49	 72	 1.57e-01	 1.95e-01	 9.18e-01	 2950
   37692	 5.11836	084.13	-02.24	314.7714	+42.4722	20572+4216 	20 57 14.8	+42 16 37	 68	 6.11e-01	 2.06e-01	 9.18e-01	 3500
   37407	 4.63400	084.14	-01.24	313.7469	+43.1281	20531+4256 	20 53 10.7	+42 56 11	 72	 3.16e-01	 1.95e-01	 9.18e-01	 2950
   37695	 5.17121	084.15	-02.31	314.8556	+42.4422	20575+4214 	20 57 34.9	+42 14 48	 68	 1.59e-01	 5.37e-01	 3.96e+00	 3500
   37942	 5.17164	084.15	-02.31	314.8560	+42.4428	20575+4214 	20 57 35.0	+42 14 50	 68	 5.24e-01	 6.10e-01	 3.41e+00	 3485
   37934	 5.13808	084.15	-02.25	314.7956	+42.4820	20573+4217 	20 57 20.6	+42 17 12	 68	 6.26e-01	 1.74e-01	 8.22e-01	 3485
   37436	 4.88140	084.15	-01.76	314.2983	+42.8000	20553+4236 	20 55 22.1	+42 36 23	 72	 1.57e-01	 1.95e-01	 9.18e-01	 2950
   37961	 5.33242	084.16	-02.57	315.1309	+42.2732	20586+4204 	20 58 40.5	+42 04 36	 68	 3.23e-01	 5.78e-01	 8.22e-01	 3485
   37964	 5.35627	084.16	-02.61	315.1703	+42.2488	20588+4203 	20 58 49.9	+42 03 08	 68	 1.57e-01	 2.66e-01	 8.22e-01	 3485
   37717	 5.43473	084.16	-02.73	315.2974	+42.1723	20593+4158 	20 59 20.2	+41 58 31	 68	 1.59e-01	 2.06e-01	 1.97e+00	 3500
   37712	 5.34736	084.17	-02.58	315.1509	+42.2752	20587+4204 	20 58 45.3	+42 04 43	 68	 2.76e-01	 5.99e-01	 9.18e-01	 3500
   37971	 5.44124	084.17	-02.73	315.3053	+42.1765	20593+4158 	20 59 22.1	+41 58 46	 68	 1.57e-01	 1.74e-01	 2.12e+00	 3485
   37675	 5.02382	084.17	-02.01	314.5684	+42.6537	20564+4227 	20 56 26.5	+42 27 33	 68	 1.59e-01	 2.06e-01	 9.18e-01	 3500
   37413	 4.67772	084.18	-01.26	313.7965	+43.1538	20533+4257 	20 53 22.6	+42 57 43	 72	 1.57e-01	 1.95e-01	 2.15e+00	 2950
   37970	 5.42769	084.19	-02.69	315.2758	+42.2209	20592+4201 	20 59 15.1	+42 01 26	 68	 4.63e+00	 2.19e+00	 8.22e-01	 3485
   37432	 4.85925	084.19	-01.66	314.2170	+42.8975	20550+4242 	20 55 02.8	+42 42 15	 72	 5.70e-01	 2.69e-01	 2.34e+00	 2950
   37716	 5.43089	084.19	-02.69	315.2804	+42.2201	20592+4201 	20 59 16.2	+42 01 23	 68	 1.59e-01	 2.18e+00	 9.18e-01	 3500
   37957	 5.33548	084.20	-02.52	315.1154	+42.3425	20586+4208 	20 58 36.9	+42 08 46	 68	 2.99e-01	 1.74e-01	 8.22e-01	 3485
   37671	 4.98591	084.20	-01.88	314.4669	+42.7617	20560+4234 	20 56 02.4	+42 34 03	 68	 5.81e+00	 2.46e+00	 9.18e-01	 3500
   37711	 5.34989	084.21	-02.53	315.1342	+42.3465	20586+4209 	20 58 41.4	+42 09 00	 68	 2.80e-01	 2.06e-01	 9.18e-01	 3500
   37976	 5.51321	084.22	-02.79	315.4036	+42.1783	20597+4158 	20 59 45.6	+41 58 51	 68	 3.30e-01	 1.74e-01	 8.22e-01	 3485
   37936	 5.16593	084.22	-02.20	314.8034	+42.5681	20573+4222 	20 57 22.6	+42 22 22	 68	 1.86e-01	 2.06e-01	 2.06e+00	 3485
   37665	 4.96901	084.23	-01.80	314.4058	+42.8395	20557+4238 	20 55 47.9	+42 38 44	 68	 1.59e-01	 2.06e-01	 1.44e+00	 3500
   37958	 5.34705	084.24	-02.49	315.1163	+42.3928	20586+4211 	20 58 37.2	+42 11 47	 68	 4.10e-01	 1.74e-01	 8.22e-01	 3485
   37709	 5.34350	084.24	-02.48	315.1100	+42.3973	20585+4212 	20 58 35.7	+42 12 03	 68	 1.59e-01	 1.83e-01	 2.36e+00	 3500
   37954	 5.29791	084.25	-02.38	315.0222	+42.4731	20582+4216 	20 58 14.8	+42 16 37	 68	 3.80e-01	 1.97e-01	 8.22e-01	 3485
   37938	 5.19923	084.27	-02.18	314.8324	+42.6155	20574+4225 	20 57 29.6	+42 25 12	 68	 1.78e-01	 2.46e-01	 8.22e-01	 3485
   37430	 4.88301	084.27	-01.55	314.1806	+43.0285	20549+4250 	20 54 54.3	+42 50 07	 72	 1.57e+00	 4.14e-01	 9.18e-01	 2950
   37650	 4.89043	084.28	-01.55	314.1906	+43.0302	20549+4250 	20 54 56.7	+42 50 13	 68	 1.59e+00	 4.89e-01	 9.18e-01	 3500
   37707	 5.33303	084.28	-02.40	315.0681	+42.4824	20584+4217 	20 58 25.8	+42 17 10	 68	 3.27e-01	 2.62e-01	 9.18e-01	 3500
   37933	 5.15937	084.28	-02.08	314.7458	+42.6907	20571+4229 	20 57 09.0	+42 29 44	 68	 3.28e-01	 1.74e-01	 8.22e-01	 3485
   37949	 5.27190	084.29	-02.29	314.9569	+42.5562	20579+4221 	20 57 59.3	+42 21 37	 68	 1.57e-01	 1.74e-01	 4.03e+00	 3485
   37691	 5.16801	084.29	-02.09	314.7575	+42.6922	20571+4229 	20 57 11.8	+42 29 49	 68	 3.36e-01	 2.06e-01	 9.18e-01	 3500
   37700	 5.28214	084.29	-02.30	314.9702	+42.5590	20580+4221 	20 58 02.5	+42 21 47	 68	 1.59e-01	 2.06e-01	 4.26e+00	 3500
   37428	 4.86404	084.31	-01.44	314.0934	+43.1287	20545+4256 	20 54 33.6	+42 56 09	 72	 2.92e-01	 1.95e-01	 9.18e-01	 2950
   37404	 4.71114	084.31	-01.05	313.6922	+43.3768	20529+4311 	20 52 58.0	+43 11 07	 72	 1.55e+00	 4.47e-01	 9.18e-01	 2950
   37419	 4.78144	084.31	-01.24	313.8840	+43.2599	20537+4304 	20 53 43.7	+43 04 04	 72	 2.64e-01	 3.68e-01	 6.39e+00	 2950
   37930	 5.15290	084.31	-02.03	314.7124	+42.7478	20570+4233 	20 57 01.1	+42 33 10	 68	 1.57e-01	 1.74e-01	 8.22e-01	 3485
   37657	 4.95498	084.32	-01.62	314.2914	+43.0205	20553+4249 	20 55 20.8	+42 49 37	 68	 1.34e+00	 3.23e-01	 9.18e-01	 3500
   37429	 4.87253	084.32	-01.43	314.0975	+43.1429	20545+4257 	20 54 34.6	+42 57 00	 72	 1.57e-01	 2.61e+00	 1.10e+01	 2950
   37941	 5.23433	084.33	-02.15	314.8545	+42.6853	20575+4229 	20 57 35.0	+42 29 23	 68	 5.10e-01	 7.48e-01	 9.51e+00	 3485
   37696	 5.23513	084.33	-02.15	314.8557	+42.6850	20575+4229 	20 57 35.3	+42 29 22	 68	 5.17e-01	 8.10e-01	 1.01e+01	 3500
   37656	 4.96190	084.34	-01.59	314.2837	+43.0527	20553+4251 	20 55 19.0	+42 51 33	 68	 1.94e-01	 2.06e-01	 6.01e+00	 3500
   37645	 4.90040	084.34	-01.44	314.1329	+43.1533	20547+4257 	20 54 43.1	+42 57 37	 68	 1.59e-01	 2.42e+00	 7.15e+00	 3500
   37649	 4.92230	084.34	-01.49	314.1854	+43.1207	20549+4255 	20 54 55.6	+42 55 39	 68	 2.56e-01	 4.67e-01	 7.24e+00	 3500
   37705	 5.32724	084.35	-02.30	315.0197	+42.5972	20582+4224 	20 58 14.4	+42 24 04	 68	 8.77e-01	 2.06e-01	 9.18e-01	 3500
   37953	 5.32835	084.35	-02.30	315.0210	+42.5981	20582+4224 	20 58 14.7	+42 24 07	 68	 9.84e-01	 1.74e-01	 8.22e-01	 3485
   37431	 4.92843	084.35	-01.49	314.1921	+43.1249	20549+4255 	20 54 57.2	+42 55 54	 72	 2.68e-01	 5.39e-01	 7.51e+00	 2950
   37402	 4.73235	084.35	-01.00	313.6720	+43.4473	20528+4315 	20 52 53.3	+43 15 21	 72	 1.57e-01	 6.76e-01	 1.43e+01	 2950
   37943	 5.25746	084.35	-02.16	314.8837	+42.6943	20577+4229 	20 57 42.0	+42 29 55	 68	 1.57e-01	 1.74e-01	 8.22e-01	 3485
   37416	 4.80972	084.37	-01.15	313.8544	+43.3648	20536+4310 	20 53 36.8	+43 10 22	 72	 1.79e+00	 5.02e-01	 9.18e-01	 2950
   37704	 5.33853	084.39	-02.25	315.0105	+42.6639	20582+4228 	20 58 12.3	+42 28 04	 68	 7.79e-01	 5.26e-01	 9.18e-01	 3500
   37412	 4.79451	084.39	-01.06	313.7766	+43.4385	20533+4314 	20 53 18.3	+43 14 48	 72	 4.12e-01	 1.95e-01	 9.18e-01	 2950
   37932	 5.20281	084.40	-01.98	314.7393	+42.8479	20571+4239 	20 57 07.7	+42 39 10	 68	 1.88e-01	 1.74e-01	 2.28e+00	 3485
   37955	 5.34898	084.40	-02.25	315.0235	+42.6686	20582+4228 	20 58 15.4	+42 28 21	 68	 9.06e-01	 4.86e-01	 8.22e-01	 3485
   37975	 5.55620	084.42	-02.59	315.3855	+42.4624	20596+4215 	20 59 41.7	+42 15 54	 68	 1.18e+00	 6.02e-01	 8.22e-01	 3485
   37940	 5.26783	084.43	-02.06	314.8474	+42.8152	20575+4237 	20 57 33.5	+42 37 11	 68	 5.94e-01	 1.94e-01	 8.22e-01	 3485
   37693	 5.23117	084.43	-01.99	314.7731	+42.8633	20572+4240 	20 57 15.8	+42 40 05	 68	 1.59e-01	 1.75e-01	 2.24e+00	 3500
   37931	 5.21032	084.43	-01.95	314.7303	+42.8907	20570+4241 	20 57 05.6	+42 41 44	 68	 1.50e-01	 3.11e-01	 8.22e-01	 3485
   37687	 5.21182	084.43	-01.94	314.7315	+42.8926	20570+4241 	20 57 05.9	+42 41 51	 68	 2.01e-01	 2.76e-01	 9.18e-01	 3500
   37925	 5.16846	084.43	-01.86	314.6409	+42.9501	20567+4245 	20 56 44.3	+42 45 19	 68	 2.32e-01	 3.23e-01	 8.22e-01	 3485
   37698	 5.27835	084.44	-02.07	314.8616	+42.8172	20576+4237 	20 57 36.9	+42 37 18	 68	 4.71e-01	 2.11e-01	 9.18e-01	 3500
   37684	 5.17603	084.44	-01.86	314.6513	+42.9512	20567+4245 	20 56 46.8	+42 45 23	 68	 2.39e-01	 3.28e-01	 9.18e-01	 3500
   37383	 4.71263	084.44	-00.68	313.4127	+43.7177	20518+4331 	20 51 51.7	+43 31 38	 72	 2.90e-01	 1.95e-01	 8.20e+00	 2950
   37688	 5.21585	084.44	-01.94	314.7331	+42.9015	20571+4242 	20 57 06.3	+42 42 23	 68	 1.59e-01	 2.06e-01	 2.49e+00	 3500
   37393	 4.75417	084.44	-00.80	313.5428	+43.6482	20523+4327 	20 52 22.7	+43 27 26	 72	 1.57e-01	 5.99e-01	 9.18e-01	 2950
   37666	 5.07308	084.45	-01.61	314.4082	+43.1237	20558+4255 	20 55 48.9	+42 55 47	 68	 2.41e-01	 3.04e-01	 9.18e-01	 3500
   37661	 5.04998	084.46	-01.54	314.3405	+43.1807	20555+4259 	20 55 32.8	+42 59 13	 68	 1.59e-01	 2.06e-01	 4.53e+00	 3500
   37905	 5.08539	084.46	-01.62	314.4228	+43.1302	20558+4256 	20 55 52.4	+42 56 10	 68	 2.73e-01	 3.47e-01	 8.22e-01	 3485
   37969	 5.49544	084.47	-02.42	315.2525	+42.6075	20591+4224 	20 59 10.1	+42 24 38	 68	 1.57e-01	 3.07e-01	 2.80e+00	 3485
   37951	 5.34820	084.47	-02.14	314.9721	+42.7926	20580+4235 	20 58 03.3	+42 35 48	 68	 1.57e-01	 1.74e-01	 1.56e+00	 3485
   37405	 4.83068	084.48	-00.93	313.7196	+43.5847	20530+4323 	20 53 04.9	+43 23 35	 72	 2.47e-01	 1.95e-01	 6.52e+00	 2950
   37410	 4.84292	084.48	-00.96	313.7527	+43.5678	20532+4322 	20 53 12.8	+43 22 34	 72	 1.57e-01	 1.95e-01	 9.18e-01	 2950
   37669	 5.10259	084.48	-01.62	314.4419	+43.1413	20559+4256 	20 55 57.0	+42 56 50	 68	 1.59e-01	 2.06e-01	 4.42e+00	 3500
   37683	 5.19637	084.48	-01.82	314.6497	+43.0132	20567+4249 	20 56 46.5	+42 49 06	 68	 3.18e-01	 2.40e-01	 2.53e+00	 3500
   37972	 5.56843	084.49	-02.52	315.3732	+42.5537	20596+4221 	20 59 38.9	+42 21 23	 68	 1.57e-01	 1.74e-01	 1.28e+00	 3485
   37926	 5.19839	084.49	-01.82	314.6509	+43.0165	20567+4249 	20 56 46.8	+42 49 18	 68	 2.77e-01	 2.96e-01	 2.49e+00	 3485
   37634	 4.94053	084.49	-01.22	314.0242	+43.4110	20542+4313 	20 54 17.5	+43 13 06	 68	 4.29e-01	 4.49e-01	 8.71e+00	 3500
   37908	 5.11500	084.49	-01.62	314.4552	+43.1503	20560+4257 	20 56 00.2	+42 57 22	 68	 1.50e-01	 1.74e-01	 4.29e+00	 3485
   37897	 5.08628	084.50	-01.54	314.3788	+43.2075	20557+4300 	20 55 42.0	+43 00 49	 68	 1.77e-01	 1.74e-01	 8.22e-01	 3485
   37394	 4.80171	084.50	-00.76	313.5620	+43.7152	20524+4331 	20 52 27.4	+43 31 27	 72	 1.30e+00	 1.05e+00	 1.19e+01	 2950
   37944	 5.32318	084.52	-02.02	314.8848	+42.9084	20577+4242 	20 57 42.6	+42 42 46	 68	 1.61e-01	 1.74e-01	 8.22e-01	 3485
   37386	 4.78532	084.53	-00.63	313.4439	+43.8148	20519+4337 	20 51 59.3	+43 37 27	 72	 1.92e-01	 1.95e-01	 5.32e+00	 2950
   37639	 4.98151	084.53	-01.21	314.0608	+43.4489	20544+4315 	20 54 26.3	+43 15 22	 68	 1.94e-01	 4.27e-01	 9.18e-01	 3500
